Country,Rank,PowerIndex,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Total Tank Strength,Total Naval Assets,Defense Budget
Nepal,124,2.8037,"31,122,387","15,249,970","98,500","82,000",17,10,0,0,"$                        							431,355,326"
Laos,125,2.8672,"7,953,556","3,499,565","100,000","30,000",29,20,160,51,"$                        							355,600,000"
Senegal,126,2.8925,"18,847,519","7,162,057","17,000",0,39,19,0,4,"$                        							777,800,000"
Burkina Faso,127,2.9213,"23,042,199","8,525,614","7,500",0,26,19,0,0,"$                        							4,590,000,000"
Montenegro,128,2.9782,"599,849","143,964","2,350",0,10,10,0,20,"$                        							204,000,000"
El Salvador,129,2.9973,"6,628,702","3,181,777","25,000",0,51,28,0,13,"$                        							1,037,200,000"
Botswana,130,2.9993,"2,450,668","1,029,281","12,000",0,45,16,45,0,"$                        							581,000,000"
Madagascar,131,3.0381,"29,452,714","11,192,031","13,500",0,6,5,12,7,"$                        							147,630,000"
Gabon,132,3.0432,"2,455,105","932,940","5,000",0,25,16,0,5,"$                        							340,950,000"
Bosnia and Herzegovina,133,3.1291,"3,798,671","2,355,176","18,000","8,000",15,15,45,0,"$                        							289,920,000"
Iceland,134,3.4013,"364,036","83,728",0,0,0,0,0,0,"$                        							500,000,000"
Panama,135,3.5011,"4,470,241","2,011,608","16,300",0,38,23,0,22,"$                        							1,069,750,000"
Moldova,136,3.6225,"3,599,528","2,159,717","6,500","2,000",3,2,0,0,"$                        							114,114,000"
Somalia,137,3.7393,"13,017,273","2,993,973","30,000",0,6,6,0,19,"$                        							870,000,000"
Benin,138,3.8963,"14,697,052","5,584,880","4,750",0,7,5,0,2,"$                        							137,690,000"
Kosovo,139,3.8041,"1,977,093","917,371","4,000","5,000",0,0,0,0,"$                        							1,177,450,000"
Sierra Leone,140,3.9201,"9,121,049","2,006,631","13,000",0,1,1,0,10,"$                        							450,000,000"
Liberia,141,3.9275,"5,437,249","2,392,390","2,100",0,0,0,0,6,"$                        							20,700,000"
Suriname,142,4.0538,"646,758","142,287","2,500",0,3,3,0,17,"$                        							58,440,000"
Central African Republic,143,4.2381,"5,650,957","2,203,873","30,000",0,8,0,0,0,"$                        							300,000,000"
Beliz,144,4.3602,"415,789","158,000","2,000",850,3,1,0,15,"$                        							34,400,000"
Bhutan,145,5.7991,"884,546","203,446","16,000","50,000",2,2,0,0,"$                        							26,600,000"
