country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,fighter_aircraft,fit_for_service,frigates,helicopter_carriers,major_ports_and_terminals,paramilitary,population_reaching_military_age_annually,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km,Power_Score,Power_Rank,Power_Index_Rank_Gap,Total_Assets,Assets_Per_Capita,Budget_to_GDP_Ratio,Continent,Region,Alliance,Military_Readiness_Index,Budget_per_Soldier,Manpower_Density,Tank_Density,Naval_Strength_per_Coastline,Air_Power_Ratio,Logistics_Strength_Index
Bangladesh,163000,0,11584,0,0,4413,61,580,6,4374000000,0,42,66129296,7,0,2,6800000,3205246,1.413E+12,2460,0,369105,110,56,4,2,0,320,148460,214,65,82661620,118,168697184,17,546,86,17,8370,163652,36,35,652,3.86E-06,0.003095541,Asia,Asia,Non-NATO,0.002464868,26834.35583,0.489999999,0.002155463,0.203448276,0.001312883,2.559174188
Belarus,63000,0,6916,50,29,3599,0,0,0,1077900000,0,36,3724569,0,0,0,55000,104516,2.54407E+11,5528,145000,86600,206,357,0,0,0,507,207600,185,68,5035769,0,9501451,46,215,27,4,2500,63692,65,64,692,7.28E-05,0.004236912,Europe,Europe,Non-NATO,0.055845388,17109.52381,0.529999997,0.002442197,,0.002936508,0.455818882
Belgium,25000,0,4606,0,0,1297,2,67,0,10200000000,0,43,3880753,2,0,7,0,119776,7.51592E+11,3602,6400,118414,0,0,0,0,0,0,30528,108,20,4910830,9,11977634,49,0,38,7,2043,25117,95,94,117,9.77E-06,0.013571193,Europe,Europe,NATO,0.008091213,408000,0.410000005,0,0.134328358,0.00432,4.063777516
Beliz,1650,0,130,0,0,542,8,386,0,29538000,0,0,90226,0,0,2,0,8732,5257000000,0,850,3281,0,0,1,0,0,0,22966,3,1,158000,8,415789,27,0,0,1,825,1661,140,139,11,2.65E-05,0.005618794,North America,North America,Non-NATO,0.027708199,17901.81818,0.380000433,0,0.020725389,0.001818182,0.178786032
Benin,4750,0,92,0,0,2123,2,121,0,98350000,0,0,3189260,0,0,1,0,308638,52510000000,438,0,16000,0,0,0,0,0,0,112622,5,5,5584880,2,14697052,10,16,0,0,150,4757,137,136,7,4.76E-07,0.001872977,Africa,Africa,Non-NATO,0.001489374,20705.26316,0.380000016,0,0.016528926,0.001052632,0.147289162
Bhutan,7500,0,84,0,0,1136,0,0,0,14000000,0,0,122067,0,0,0,0,4423,10981000000,0,0,12205,0,0,0,0,0,0,38394,2,2,203446,0,884546,4,0,0,0,0,7502,133,132,2,2.26E-06,0.001274929,Asia,Asia,Non-NATO,0.061441667,1866.666667,0.230000475,0,,0.000266667,0.317888212
Bolivia,40000,0,890,0,0,7252,50,0,0,550200000,0,0,4112199,0,0,0,0,233928,1.19785E+11,3690,40000,90568,0,0,0,0,0,54,1098581,64,33,5417269,67,12311974,200,106,19,15,10000,40185,82,81,185,1.50E-05,0.00459323,South America,South America,Non-NATO,0.019454311,13755,0.440000036,4.92E-05,inf,0.0016,0.094902424
Bosnia and Herzegovina,12770,0,720,0,0,1543,0,20,0,216400000,0,0,1956316,0,0,1,0,49383,63769000000,965,6000,22926,79,0,0,0,0,45,51197,22,22,2355176,0,3798671,13,457,0,0,990,12837,121,120,67,1.76E-05,0.003393498,Europe,Europe,Non-NATO,0.009594564,16945.96711,0.619999995,0.000878958,0,0.001722788,0.485985507
Botswana,21000,0,1224,0,0,4347,0,0,0,465600000,0,11,617568,0,0,0,0,24507,46742000000,888,0,31747,20,12,0,0,0,45,581730,45,16,1029281,0,2450668,122,36,9,9,0,21090,106,105,90,3.67E-05,0.009961063,Africa,Africa,Non-NATO,0.034004353,22171.42857,0.42000018,7.74E-05,,0.002142857,0.056099909
Brazil,360000,0,22464,38,0,16145,23,7491,2,26157300000,0,43,88680759,6,1,45,200000,3520824,4.016E+12,29850,340000,2000000,38,109,25,4,0,294,8515770,513,191,112226271,64,220051512,4919,412,133,109,50000,360871,15,14,871,3.96E-06,0.006513272,South America,South America,Non-NATO,0.007893482,72659.16667,0.509999999,3.45E-05,0.008543586,0.001425,0.244235107
Bulgaria,37000,0,4914,5,4,1806,0,354,3,1373232000,0,10,2611324,4,0,2,0,61044,2.14061E+11,4029,3000,19512,24,48,0,0,0,90,110880,65,27,3187850,36,6782659,111,24,21,6,470,37191,86,85,191,2.82E-05,0.006415143,Europe,Europe,NATO,0.0153179,37114.37838,0.47000004,0.000811688,0.101694915,0.001756757,0.216549423
Burkina Faso,12000,0,491,3,5,3611,0,0,0,81280000,0,0,6060098,0,0,0,4500,368675,57152000000,622,0,15304,9,0,2,0,0,0,274200,25,18,8525614,0,23042199,49,8,0,2,0,12025,122,121,25,1.08E-06,0.001422172,Africa,Africa,Non-NATO,0.001980166,6773.333333,0.370000016,0,,0.002083333,0.058081692
