country,region,continent,alliances,metric,value
Bahrain,Middle East,Asia,ARAB_LEAGUE,total_population_by_country,1566888.0
Estonia,Northern Europe,Europe,"NATO, EU",total_population_by_country,1193791.0
Bhutan,South Asia,Asia,None,total_population_by_country,884546.0
Luxembourg,Western Europe,Europe,"NATO, EU",total_population_by_country,671254.0
Suriname,South America,South America,None,total_population_by_country,646758.0
Montenegro,Southern Europe,Europe,NATO,total_population_by_country,599849.0
Beliz,Central America,North America,None,total_population_by_country,415789.0
Iceland,Northern Europe,Europe,NATO,total_population_by_country,364036.0
China,East Asia,Asia,"BRICS, SCO",active_military_manpower,2035000.0
India,South Asia,Asia,"BRICS, SCO",active_military_manpower,1455550.0
United States,North America,North America,"NATO, FIVE_EYES",active_military_manpower,1328000.0
Indonesia,Southeast Asia,Asia,ASEAN,active_military_manpower,400000.0
Pakistan,South Asia,Asia,SCO,active_military_manpower,654000.0
Nigeria,West Africa,Africa,AFRICAN_UNION,active_military_manpower,230000.0
Brazil,South America,South America,BRICS,active_military_manpower,360000.0
Bangladesh,South Asia,Asia,None,active_military_manpower,163000.0
Russia,Eastern Europe,Europe,"BRICS, SCO",active_military_manpower,1320000.0
Mexico,Central America,North America,None,active_military_manpower,412000.0
Japan,East Asia,Asia,None,active_military_manpower,247150.0
Ethiopia,East Africa,Africa,"BRICS, AFRICAN_UNION",active_military_manpower,162000.0
Philippines,Southeast Asia,Asia,ASEAN,active_military_manpower,150000.0
Democratic Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,active_military_manpower,166580.0
Egypt,North Africa,Africa,"BRICS, ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,440000.0
Vietnam,Southeast Asia,Asia,ASEAN,active_military_manpower,600000.0
Iran,Middle East,Asia,"BRICS, SCO",active_military_manpower,610000.0
Turkiye,Middle East,Asia,NATO,active_military_manpower,355200.0
Germany,Western Europe,Europe,"NATO, EU",active_military_manpower,181600.0
Thailand,Southeast Asia,Asia,ASEAN,active_military_manpower,360850.0
United Kingdom,Western Europe,Europe,"NATO, FIVE_EYES",active_military_manpower,184860.0
France,Western Europe,Europe,"NATO, EU",active_military_manpower,200000.0
Tanzania,East Africa,Africa,AFRICAN_UNION,active_military_manpower,27000.0
Italy,Southern Europe,Europe,"NATO, EU",active_military_manpower,165500.0
South Africa,Southern Africa,Africa,"BRICS, AFRICAN_UNION",active_military_manpower,71235.0
Kenya,East Africa,Africa,AFRICAN_UNION,active_military_manpower,50000.0
Myanmar,Southeast Asia,Asia,ASEAN,active_military_manpower,150000.0
South Korea,East Asia,Asia,None,active_military_manpower,600000.0
Sudan,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,92000.0
Colombia,South America,South America,None,active_military_manpower,293200.0
Uganda,East Africa,Africa,AFRICAN_UNION,active_military_manpower,45000.0
Spain,Southern Europe,Europe,"NATO, EU",active_military_manpower,133282.0
Algeria,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,325000.0
Argentina,South America,South America,None,active_military_manpower,108000.0
Iraq,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,193000.0
Afghanistan,South Asia,Asia,None,active_military_manpower,0.0
Canada,North America,North America,"NATO, FIVE_EYES",active_military_manpower,68000.0
Poland,Eastern Europe,Europe,"NATO, EU",active_military_manpower,202100.0
Morocco,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,195800.0
Angola,Southern Africa,Africa,AFRICAN_UNION,active_military_manpower,107000.0
Saudi Arabia,Middle East,Asia,"BRICS, ARAB_LEAGUE",active_military_manpower,257000.0
Uzbekistan,Central Asia,Asia,SCO,active_military_manpower,48000.0
Ukraine,Eastern Europe,Europe,None,active_military_manpower,900000.0
Ghana,West Africa,Africa,AFRICAN_UNION,active_military_manpower,15500.0
Malaysia,Southeast Asia,Asia,ASEAN,active_military_manpower,113000.0
Mozambique,East Africa,Africa,AFRICAN_UNION,active_military_manpower,11200.0
Peru,South America,South America,None,active_military_manpower,120000.0
Yemen,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,66700.0
Venezuela,South America,South America,None,active_military_manpower,109000.0
Nepal,South Asia,Asia,None,active_military_manpower,95000.0
Cameroon,Central Africa,Africa,AFRICAN_UNION,active_military_manpower,40000.0
Ivory Coast,West Africa,Africa,AFRICAN_UNION,active_military_manpower,22000.0
Madagascar,East Africa,Africa,AFRICAN_UNION,active_military_manpower,13500.0
Australia,Oceania,Oceania,FIVE_EYES,active_military_manpower,57350.0
Niger,West Africa,Africa,AFRICAN_UNION,active_military_manpower,25000.0
North Korea,East Asia,Asia,None,active_military_manpower,1320000.0
Syria,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,170000.0
Taiwan,East Asia,Asia,None,active_military_manpower,215000.0
Burkina Faso,West Africa,Africa,AFRICAN_UNION,active_military_manpower,12000.0
Mali,West Africa,Africa,AFRICAN_UNION,active_military_manpower,40000.0
Sri Lanka,South Asia,Asia,None,active_military_manpower,346000.0
Zambia,Southern Africa,Africa,AFRICAN_UNION,active_military_manpower,15150.0
Kazakhstan,Central Asia,Asia,SCO,active_military_manpower,110000.0
Chad,Central Africa,Africa,AFRICAN_UNION,active_military_manpower,33250.0
Senegal,West Africa,Africa,AFRICAN_UNION,active_military_manpower,17000.0
Chile,South America,South America,None,active_military_manpower,80000.0
Ecuador,South America,South America,None,active_military_manpower,41250.0
Guatemala,Central America,North America,None,active_military_manpower,106114.0
Romania,Eastern Europe,Europe,"NATO, EU",active_military_manpower,81300.0
Netherlands,Western Europe,Europe,"NATO, EU",active_military_manpower,41380.0
Zimbabwe,Southern Africa,Africa,AFRICAN_UNION,active_military_manpower,29000.0
Cambodia,Southeast Asia,Asia,ASEAN,active_military_manpower,221000.0
Benin,West Africa,Africa,AFRICAN_UNION,active_military_manpower,4750.0
Somalia,East Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,15000.0
South Sudan,East Africa,Africa,AFRICAN_UNION,active_military_manpower,185000.0
Bolivia,South America,South America,None,active_military_manpower,40000.0
Tunisia,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,89800.0
Belgium,Western Europe,Europe,"NATO, EU",active_military_manpower,25000.0
Jordan,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,100500.0
Cuba,Caribbean,North America,None,active_military_manpower,45500.0
Czechia,Eastern Europe,Europe,"NATO, EU",active_military_manpower,28000.0
Dominican Republic,Caribbean,North America,None,active_military_manpower,50000.0
Azerbaijan,Eastern Europe,Europe,None,active_military_manpower,126400.0
Portugal,Southern Europe,Europe,"NATO, EU",active_military_manpower,24000.0
Sweden,Northern Europe,Europe,"NATO, EU",active_military_manpower,24400.0
Greece,Southern Europe,Europe,"NATO, EU",active_military_manpower,142700.0
Tajikistan,Central Asia,Asia,SCO,active_military_manpower,9500.0
United Arab Emirates,Middle East,Asia,"BRICS, ARAB_LEAGUE",active_military_manpower,65000.0
Hungary,Eastern Europe,Europe,"NATO, EU",active_military_manpower,41600.0
Honduras,Central America,North America,None,active_military_manpower,52225.0
Belarus,Eastern Europe,Europe,SCO,active_military_manpower,63000.0
Israel,Middle East,Asia,None,active_military_manpower,170000.0
Sierra Leone,West Africa,Africa,AFRICAN_UNION,active_military_manpower,13000.0
Austria,Western Europe,Europe,EU,active_military_manpower,16000.0
Switzerland,Western Europe,Europe,None,active_military_manpower,101584.0
Laos,Southeast Asia,Asia,ASEAN,active_military_manpower,100000.0
Paraguay,South America,South America,None,active_military_manpower,15650.0
Libya,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",active_military_manpower,32000.0
Bulgaria,Eastern Europe,Europe,"NATO, EU",active_military_manpower,37000.0
Nicaragua,Central America,North America,None,active_military_manpower,45000.0
Serbia,Eastern Europe,Europe,None,active_military_manpower,25000.0
El Salvador,Central America,North America,None,active_military_manpower,25000.0
Eritrea,East Africa,Africa,AFRICAN_UNION,active_military_manpower,120000.0
Kyrgyzstan,Central Asia,Asia,SCO,active_military_manpower,23000.0
Republic of the Congo,Central Africa,Africa,AFRICAN_UNION,active_military_manpower,8500.0
Singapore,Southeast Asia,Asia,ASEAN,active_military_manpower,51000.0
Denmark,Northern Europe,Europe,"NATO, EU",active_military_manpower,20000.0
Turkmenistan,Central Asia,Asia,None,active_military_manpower,36500.0
Central African Republic,Central Africa,Africa,AFRICAN_UNION,active_military_manpower,10000.0
Finland,Northern Europe,Europe,"NATO, EU",active_military_manpower,24000.0
Slovakia,Eastern Europe,Europe,"NATO, EU",active_military_manpower,19500.0
Norway,Northern Europe,Europe,NATO,active_military_manpower,23250.0
Liberia,West Africa,Africa,AFRICAN_UNION,active_military_manpower,1500.0
Lebanon,Middle East,Asia,ARAB_LEAGUE,active_military_manpower,60000.0
