Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km
Bahrain,1566888,18400,110000,1500,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,0,0,0,0,2,2,50,0,1597200000,85491000000,5118000000,3,4,0,4122
Oman,3901992,42600,100000,10000,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,0,0,0,0,0,5,12,0,8200000000,185960000000,17455000000,36,7,0,60230
Kenya,58246378,50000,0,25000,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,0,0,0,0,0,0,7,0,1307383850,314063000000,7342000000,370,4,3819,161452
Chad,19093595,33250,0,5000,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,0,0,0,0,0,0,0,0,381350000,32446000000,211591000,42,0,0,40000
Yemen,32140443,66700,0,20000,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,0,0,0,0,0,1,12,1,810375000,67003300000,923361750,36,10,0,71300
New Zealand,5161211,8670,3250,300,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,0,0,0,0,2,0,4,0,3030000000,254770000000,15487000000,202,22,4128,94000
Paraguay,7522549,15650,168500,15000,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,0,0,0,0,0,0,63,0,17595000000,108022000000,9886000000,83,1,30,78811
Lithuania,2628186,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,1263,21,54,0,14,0,0,0,0,0,0,7,4,2388900000,132712000000,6168000000,65,2,1911,84166
Mozambique,33350954,11200,0,3000,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,0,0,0,0,0,0,33,0,412400000,50631000000,3515000000,92,11,4787,31083
Tunisia,12048847,89800,0,12000,154,10,0,11,28,4,0,101,0,90,7913,0,85,0,58,0,0,0,0,0,0,51,0,1400000000,153637000000,9240000000,14,16,2173,20000
Armenia,2976765,57500,210000,5000,71,4,15,3,13,0,0,36,20,109,1306,145,148,100,0,0,0,0,0,0,0,0,0,1700000000,57728000000,3607000000,11,0,686,7700
Tanzania,67462121,27000,80000,6500,39,14,0,6,7,0,0,12,0,62,1072,0,0,0,12,0,0,0,0,0,0,10,0,1406745334,234050000000,5693050000,206,8,4097,145203
Cameroon,30966105,40000,0,12500,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,0,0,0,0,0,0,51,0,554952283,138925000000,5754093000,37,7,987,77589
Georgia,4900961,55000,152500,0,61,0,5,2,10,0,0,44,11,123,3392,67,121,42,19,0,0,0,0,0,0,31,4,495629055,83656000000,5002000000,19,3,1363,20295
Cambodia,17063669,221000,0,10000,25,0,0,4,0,0,0,21,0,644,3627,30,430,463,20,0,0,0,0,0,0,20,0,860000000,85900000000,17801000000,13,2,642,47263
Slovenia,2097893,7300,26000,5000,39,0,0,4,23,0,0,16,0,54,1428,0,18,0,2,0,0,0,0,0,0,2,0,886860000,102036000000,2370000000,42,2,1207,38985
Ireland,5233461,7765,1700,0,22,0,0,4,8,2,0,8,0,0,1712,0,0,0,8,0,0,0,0,0,0,8,0,1500000000,608463000000,12905000000,100,21,1688,99830
Mongolia,3281676,35000,135000,50000,7,0,0,3,2,0,0,2,0,420,2560,0,500,130,0,0,0,0,0,0,0,0,0,165110000,56264000000,4782000000,35,0,1815,113200
Latvia,1801246,17250,36000,12500,7,0,0,0,0,0,0,7,0,0,1848,47,0,0,18,0,0,0,0,0,0,11,6,1138000000,71154000000,4957000000,56,5,2216,70244
Uruguay,3425330,25000,0,5000,43,0,6,6,12,5,2,12,0,31,3042,6,70,4,14,0,0,0,0,0,0,2,2,772400000,105096000000,16257000000,64,8,1673,77732
Honduras,9529188,52225,60000,23000,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,0,0,0,0,0,0,93,0,413635000,68854000000,7543000000,129,8,699,14742
Ivory Coast,29981758,22000,0,5500,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,0,0,0,0,0,0,3,0,669600935,202758000000,7583484000,29,5,660,81996
Guatemala,18255216,106114,90000,35000,36,0,4,10,0,0,0,21,0,5,688,0,50,0,25,0,0,0,0,0,0,20,0,408635000,223183000000,21311000000,58,3,800,17440
Mali,21990607,40000,0,4800,43,9,12,7,4,1,0,10,8,10,570,0,10,20,0,0,0,0,0,0,0,0,0,650386000,57235000000,647800000,30,0,593,139107
Kyrgyzstan,6172101,23000,300000,55000,7,0,0,0,0,0,0,7,2,215,2686,30,169,21,0,0,0,0,0,0,0,0,0,221800000,45461000000,3237000000,28,0,424,34000
Laos,7953556,100000,30000,120000,33,0,0,2,8,0,0,23,0,160,4380,40,87,64,36,0,0,0,0,0,0,36,0,135000000,64173000000,1770000000,18,0,422,39568
Estonia,1193791,7700,78800,10000,5,0,0,2,3,0,0,3,0,0,1685,36,0,0,8,0,0,0,0,0,0,4,4,1463360000,57377000000,2593000000,26,20,1441,58412
Tajikistan,10394063,9500,600000,20000,25,0,0,1,4,0,0,20,6,38,1240,3,13,20,0,0,0,0,0,0,0,0,0,446000000,46467000000,2748900000,19,0,680,30000
Zambia,20799116,15150,0,1200,77,0,0,13,34,0,0,32,0,35,424,12,30,25,0,0,0,0,0,0,0,0,0,394240000,76493000000,2861000000,119,0,3126,67671
Ghana,34589092,15500,0,0,19,0,0,2,5,2,0,10,0,0,1824,0,6,6,28,0,0,0,0,0,0,27,0,308500000,229639000000,3624000000,11,4,947,65725
