overall_rank,country,manpower_norm,air_power_norm,land_power_norm,naval_power_norm,logistics_power_norm,energy_power_norm,geographical_power_norm,economic_power_norm,debt_norm,budget_to_gdp_norm,assets_per_capita_norm,is_nato,is_eu,is_brics,overall_power_index,power_rank_gap
91,Botswana,0.0011968841099935363,0.003286590709903593,0.003349810962425494,0.0,0.004747222055561497,3.388301674903852e-05,0.033955199625128225,0.001487060275677363,0.999257785662613,0.061154528661313746,0.02747170914114332,0,0,0,0.11344536139448316,90
92,New Zealand,0.00287766950471906,0.0035056967572304996,0.005374229255349801,3.358375620879693e-06,0.014270360795832496,0.0009434566184532887,0.016452319316313236,0.007820660109916108,0.9845950894212838,0.07301587333456006,0.032186737960203736,0,0,0,0.11332247913395668,91
93,Austria,0.005592681172015176,0.006208004674262343,0.018560508309385233,0.0,0.020756361439867504,0.0002815733179131201,0.0050261577114931125,0.017944004229828135,0.9800256764993571,0.056944796377335655,0.03691603811133767,0,1,0,0.11303117976129669,92
94,Mauritania,0.002160065641818446,0.0017528483786152498,0.0018239808381793263,2.8786076750397367e-06,0.0018867443276659992,0.0005766817832079781,0.060111462707894685,0.0009525560928310672,0.9977455447391586,0.05276878493040459,0.010099718789243954,0,0,0,0.11289287107438639,93
95,South Sudan,0.007731674910488665,0.001679813029506281,0.005058540264126456,0.0,0.013119822104893071,7.631883201711904e-05,0.037678772943833774,0.0005830190916199827,0.997684887207559,0.053784578583115375,0.010616506196979642,0,0,0,0.11274309140725194,94
96,Tunisia,0.008141667174946625,0.011247443762781187,0.02026422667471757,2.614735304827761e-05,0.0032281457791504824,0.0014658725324849413,0.009632102613268296,0.004701192959968369,0.9967003411221593,0.05594421188211227,0.019445471741654438,0,0,0,0.11260956306363232,95
97,Belgium,0.0063245830939835865,0.007887817703768623,0.011540186456942277,0.002448735595567136,0.01771965811073982,0.00039617289752904715,0.001966072204298627,0.02296806259839979,0.9639081215918854,0.08331840849205728,0.0276169613959153,1,1,0,0.11231267175426873,96
98,Belarus,0.0064554877407241385,0.014570552147239263,0.020547344579544855,0.0,0.013358654169720905,0.000402699344526347,0.01238095370521327,0.0075435871459467365,0.9967628139528485,0.02601191689906526,0.03159492909147791,0,0,0,0.11220853516303606,97
99,Ecuador,0.011068846988964796,0.007668711656441718,0.013511989917996027,1.0794778781399012e-05,0.00657730173677866,0.0004033386451932481,0.016774561650195925,0.007641800721939759,0.9967704497524629,0.056058360137641726,0.012224519156624147,0,0,0,0.11210688744210803,98
100,Slovakia,0.003728220493194266,0.0029944493134677185,0.00798743257158749,0.0,0.008792005386474627,0.00029116362159862564,0.00294282220554426,0.0064959860183946274,0.9887899626242144,0.07653557679395541,0.025991734107949388,1,1,0,0.11180533671179863,99
101,Zimbabwe,0.007531794169328459,0.007157464212678937,0.0021121096793752367,0.0,0.014613681889022507,1.0386769666926989e-05,0.022826135950576067,0.0016951357698774424,0.9964854872970927,0.05562656581990814,0.00922000485799551,0,0,0,0.11155836306456446,100
102,Afghanistan,0.017961295069943164,0.000693835816535203,0.013033445494792384,0.0,0.005067935259119747,0.0010132028824092064,0.03820425621753316,0.0018292857694953838,0.9996095763664397,0.032505495509758696,0.004712082121975062,0,0,0,0.11128011247385064,101
103,Cambodia,0.010228023942443269,0.0018258837277242185,0.013013401749317886,9.595358916799122e-06,0.006972939805334476,4.886231938720024e-08,0.010875128372609007,0.002992453411477239,0.9971237620813818,0.061465048707813004,0.009804537658502489,0,0,0,0.11113183702663623,102
104,Lebanon,0.002897894147107237,0.006061933976044405,0.012602504967090675,2.998549661499726e-05,0.003212928930359874,7.753662510005535e-09,0.0006436156215574907,0.002663817540306434,0.989498407891015,0.07166069469906039,0.024446830485395737,0,0,0,0.11110548039679083,103
105,Uruguay,0.0021094067917899434,0.003140520011685656,0.00789974118513656,4.317911512559605e-06,0.011526400652962229,1.7523562184095817e-06,0.010432378297900002,0.003494876827573711,0.9911841731413671,0.04512103165834735,0.03927343873980715,0,0,0,0.11106931607467267,104
