country,continent,region,is_nato,overall_rank,kpi_name,kpi_value
Niger,Other,Other,0,137,overall_power_index,0.001598936
North Korea,Other,Other,0,11,overall_power_index,0.136713353
Syria,Other,Other,0,65,overall_power_index,0.024196319
Taiwan,Other,Other,0,9,overall_power_index,0.14943444
Burkina Faso,Other,Other,0,139,overall_power_index,0.001190763
Mali,Other,Other,0,132,overall_power_index,0.002223585
Sri Lanka,Other,Other,0,27,overall_power_index,0.087560396
Zambia,Other,Other,0,135,overall_power_index,0.002062656
Kazakhstan,Other,Other,0,64,overall_power_index,0.024700145
Chad,Other,Other,0,121,overall_power_index,0.00345037
Senegal,Other,Other,0,124,overall_power_index,0.003142507
Chile,Other,Other,0,42,overall_power_index,0.050758627
Ecuador,Other,Other,0,72,overall_power_index,0.017211389
Guatemala,Other,Other,0,77,overall_power_index,0.015414292
Romania,Other,Other,1,67,overall_power_index,0.022317487
Netherlands,Other,Other,1,60,overall_power_index,0.027064479
Zimbabwe,Other,Other,0,123,overall_power_index,0.003218894
Cambodia,Other,Other,0,75,overall_power_index,0.016034054
Benin,Other,Other,0,141,overall_power_index,0.000869855
Somalia,Other,Other,0,120,overall_power_index,0.003492664
South Sudan,Other,Other,0,108,overall_power_index,0.006715467
Bolivia,Other,Other,0,68,overall_power_index,0.02174957
Tunisia,Other,Other,0,61,overall_power_index,0.025634429
Belgium,Other,Other,1,97,overall_power_index,0.009697675
Jordan,Other,Other,0,56,overall_power_index,0.027752342
Cuba,Other,Other,0,47,overall_power_index,0.045253044
Czechia,Other,Other,0,81,overall_power_index,0.013996948
Dominican Republic,Other,Other,0,82,overall_power_index,0.013841324
Azerbaijan,Other,Other,0,54,overall_power_index,0.030946071
Portugal,Other,Other,1,36,overall_power_index,0.069136126
Sweden,Other,Other,1,23,overall_power_index,0.093860059
Greece,Other,Other,1,21,overall_power_index,0.105465045
Tajikistan,Other,Other,0,71,overall_power_index,0.019388182
United Arab Emirates,Other,Other,0,30,overall_power_index,0.077419646
Hungary,Other,Other,1,94,overall_power_index,0.010274783
Honduras,Other,Other,0,53,overall_power_index,0.031144467
Belarus,Other,Other,0,78,overall_power_index,0.01483774
