global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
43,Peru,385000,16,111,256,15,38,6560,240,7062,712000,153000.0,2414,59400000000,18529000,166,12681497,60000,619405,12270000000.0,0,170344.0,7,0,0,71,4,210000,118000,1567000000.0,300159000000.0,858890000,517644000000,1855,71394000000,18699,32600249,8808
44,Sweden,32900,0,53,169,71,6,6795,110,2211,3396000,1115000.0,3218,1002448700000,5825000,203,3558185,25000,105898,0.0,0,31673.0,0,0,8,308,4,283000,11000,5000000.0,0.0,0,676353000000,10910,60863000000,573134,10589835,2052
45,Qatar,15000,24,80,251,102,12,5024,99,87,0,0.0,563,187000000000,2035000,8,490001,5500,12760,169595000000.0,0,124962.0,0,0,0,115,0,297000,1815000,0.0,23861000000000.0,25244000,304973000000,0,51539000000,7039,2552088,0
46,Norway,0,0,33,97,0,4,6552,44,2566,1201000,117000.0,25148,716144000000,3009000,145,1807192,40000,71627,123727000000.0,0,65692.0,4,0,5,43,6,229000,2020000,2000000.0,1544455000000.0,8122200000,499528000000,3848,80459000000,94902,5509733,1577
47,Democratic Republic of the Congo,31000,8,32,46,1,6,916,105,10481,23000,0.0,37,4994000000,35983000,272,31389623,10000,2538867,380000.0,0,124962.0,0,0,0,16,0,26000,19000,987999000.0,991090000.0,180000000,154012000000,4007,3898125000,152373,115403027,15000
48,Malaysia,51600,0,45,135,26,16,13506,48,2742,35050000,3731000.0,4675,247500000000,17308000,102,13480276,100000,553037,75456000000.0,0,67735.0,2,0,4,100,2,717000,582000,226000000.0,1189000000000.0,3600000000,1152000000000,1851,113438000000,144403,34564810,7200
49,Israel,465000,48,147,611,240,13,35985,1300,1068,6476000,0.0,273,148500000000,4554000,37,3281513,35000,131637,22886000000.0,0,38238.0,0,0,0,62,5,230000,15000,0.0,176018000000.0,12730000,471030000000,1497,204661000000,20391,9402617,0
50,Netherlands,6765,12,63,120,32,4,2755,18,1053,10610000,1825000.0,451,4779954300000,9999000,45,6486918,5000,195496,17774000000.0,0,124962.0,6,0,4,64,3,872000,70000,3247000000.0,132608000000.0,137747000,1240000000000,3055,69830000000,139124,17772378,6237
51,Kuwait,24000,16,67,128,43,2,5636,367,475,145000,0.0,499,55000000000,2463000,6,1449920,7500,37660,19285000000.0,0,124962.0,0,0,0,123,0,372000,2910000,0.0,1784000000000.0,101500000000,219060000000,0,52619000000,5749,3138355,0
52,Singapore,252500,18,70,230,100,9,8998,170,0,784000,0.0,193,1713410600000,3619000,9,2628408,12000,66313,0.0,0,81340.0,6,0,4,50,6,1470000,0,0.0,0.0,0,754758000000,0,359835000000,3500,6028459,0
