country,total_population_by_country,total_population_by_country_rank,available_military_manpower,available_military_manpower_rank,manpower_fit_for_military_service,manpower_fit_for_military_service_rank,manpower_reaching_military_age_annually,manpower_reaching_military_age_annually_rank,active_military_manpower,active_military_manpower_rank,active_reserve_military_manpower,active_reserve_military_manpower_rank,manpower_paramilitary,manpower_paramilitary_rank,aircraft_total,aircraft_total_rank,aircraft_total_fighters,aircraft_total_fighters_rank,aircraft_total_attack_types,aircraft_total_attack_types_rank,aircraft_total_transports,aircraft_total_transports_rank,aircraft_total_trainers,aircraft_total_trainers_rank,aircraft_total_special_mission,aircraft_total_special_mission_rank,aircraft_total_tanker_fleet,aircraft_total_tanker_fleet_rank,aircraft_helicopters_total,aircraft_helicopters_total_rank,aircraft_helicopters_attack,aircraft_helicopters_attack_rank,armor_tanks_total,armor_tanks_total_rank,armor_apc_total,armor_apc_total_rank,armor_self_propelled_guns_total,armor_self_propelled_guns_total_rank,armor_towed_artillery_total,armor_towed_artillery_total_rank,armor_mlrs_total,armor_mlrs_total_rank,navy_ships,navy_ships_rank,navy_force_by_tonnage,navy_force_by_tonnage_rank,navy_aircraft_carriers,navy_aircraft_carriers_rank,navy_helo_carriers,navy_helo_carriers_rank,navy_submarines,navy_submarines_rank,navy_destroyers,navy_destroyers_rank,navy_frigates,navy_frigates_rank,navy_corvettes,navy_corvettes_rank,navy_patrol_coastal_craft,navy_patrol_coastal_craft_rank,navy_mine_warfare_craft,navy_mine_warfare_craft_rank,defense_spending_budget,defense_spending_budget_rank,external_debt_by_country,external_debt_by_country_rank,purchasing_power_parity,purchasing_power_parity_rank,reserves_of_foreign_exchange_and_gold,reserves_of_foreign_exchange_and_gold_rank,major_serviceable_airports_by_country,major_serviceable_airports_by_country_rank,labor_force_by_country,labor_force_by_country_rank,major_ports_and_terminals,major_ports_and_terminals_rank,merchant_marine_strength_by_country,merchant_marine_strength_by_country_rank,railway_coverage,railway_coverage_rank,roadway_coverage,roadway_coverage_rank,oil_production_by_country,oil_production_by_country_rank,oil_consumption_by_country,oil_consumption_by_country_rank,proven_oil_reserves_by_country,proven_oil_reserves_by_country_rank,natural_gas_production_by_country,natural_gas_production_by_country_rank,natural_gas_consumption_by_country,natural_gas_consumption_by_country_rank,proven_natural_gas_reserves_by_country,proven_natural_gas_reserves_by_country_rank,coal_production_by_country,coal_production_by_country_rank,coal_consumption_by_country,coal_consumption_by_country_rank,proven_coal_reserves_by_country,proven_coal_reserves_by_country_rank,square_land_area,square_land_area_rank,coastline_coverage,coastline_coverage_rank,border_coverage,border_coverage_rank,waterway_coverage,waterway_coverage_rank
Slovakia,"5,563,649",111,"2,837,461",104,"2,353,424",102,"61,200",117,"19,500",108,0,134,0,141,41,95,2,89,0,128,7,78,9,96,1,77,0,122,22,92,0,135,45,88,"3,074",82,35,64,9,108,25,63,0,139,,,0,139,0,139,0,139,0,139,0,139,0,139,0,139,0,139,"$                        							2,656,000,000",64,"$                        							127,600,000,000",46,"$                        							213,053,000,000",75,"$                        							11,288,000,000",75,114,45,"2,823,000",107,0,137,0,140,"3,627                        						
							km",53,"56,926                        						
							km",80,"7,000                        						
							bbl",83,"94,000                        						
							bbl",83,"9,000,000                        						
							bbl",89,"52,556,000                        						
							Cu.M",79,"60,424,000                        						
							Cu.M",104,"14,158,000,000                        						
							Cu.M",69,"2,343,000                        						
							Cu.M",49,"5,794,000                        						
							mt",46,"19,000,000                        						
							Cu.M",77,"49,035                        						
							km",121,"0                        						
							km",139,"1,587                        						
							km",100,"172                        						
							km",97
Norway,"5,509,733",112,"2,203,893",115,"1,807,192",110,"71,627",110,"23,250",102,0,128,"40,000",48,97,73,0,133,32,23,4,102,23,68,5,43,0,109,33,77,0,128,44,90,"6,552",59,42,57,0,135,0,130,43,59,"65,692",36,0,79,0,79,6,20,0,80,4,37,6,22,18,62,5,25,"$                        							9,710,000,000",32,"$                        							716,144,000,000",19,"$                        							499,528,000,000",50,"$                        							80,459,000,000",34,145,35,"3,009,000",103,141,5,"1,720",14,"3,848                        						
							km",49,"94,902                        						
							km",52,"2,020,000                        						
							bbl",12,"229,000                        						
							bbl",50,"8,122,200,000                        						
							bbl",17,"123,727,000,000                        						
							Cu.M",8,"4,548,000,000                        						
							Cu.M",58,"1,544,455,000,000                        						
							Cu.M",20,"117,000                        						
							Cu.M",72,"1,201,000                        						
							mt",72,"2,000,000                        						
							Cu.M",81,"323,802                        						
							km",66,"25,148                        						
							km",7,"2,566                        						
							km",70,"1,577                        						
							km",53
Liberia,"5,437,249",113,"2,392,390",109,"1,913,912",108,"65,247",113,"1,500",141,0,116,"5,500",89,0,144,0,120,0,105,0,138,0,132,0,114,0,87,0,143,0,114,0,130,300,136,0,118,0,130,0,120,4,109,,,0,62,0,62,0,79,0,64,0,86,0,86,4,97,0,88,"$                        							364,800,000",117,"$                        							830,923,000",143,"$                        							8,884,000,000",143,"$                        							599,660,000",134,99,52,"2,499,000",110,4,86,"4,821",5,"429                        						
							km",114,"10,600                        						
							km",130,"0                        						
							bbl",125,"4,000                        						
							bbl",141,"0                        						
							bbl",118,"0                        						
							Cu.M",118,"0                        						
							Cu.M",127,"0                        						
							Cu.M",118,"0                        						
							Cu.M",112,"0                        						
							mt",131,"0                        						
							Cu.M",118,"111,369                        						
							km",98,"579                        						
							km",76,"1,667                        						
							km",96,"0                        						
							km",122
Lebanon,"5,364,482",114,"2,092,148",118,"1,775,644",113,"69,738",111,"60,000",66,"35,000",65,"65,000",31,80,79,0,119,9,50,0,137,9,95,0,113,0,86,68,53,0,113,116,65,"4,538",70,12,83,353,32,11,85,64,47,,,0,61,0,61,0,78,0,63,0,85,0,85,61,21,0,87,"$                        							768,250,325",97,"$                        							36,928,000,000",73,"$                        							65,818,000,000",107,"$                        							26,498,095,000",57,8,137,"1,771,000",122,5,79,51,89,"401                        						
							km",118,"21,705                        						
							km",107,"0                        						
							bbl",124,"174,000                        						
							bbl",60,"0                        						
							bbl",117,"0                        						
							Cu.M",117,"0                        						
							Cu.M",126,"0                        						
							Cu.M",117,"0                        						
							Cu.M",111,"207,000                        						
							mt",91,"0                        						
							Cu.M",117,"10,400                        						
							km",142,"225                        						
							km",99,"484                        						
							km",126,"0                        						
							km",121
Ireland,"5,233,461",115,"2,407,392",108,"1,999,182",106,"57,568",119,"7,765",131,"1,700",94,0,137,22,115,0,113,0,97,4,98,8,99,2,63,0,77,8,122,0,109,0,127,"1,712",101,0,115,0,126,0,116,8,101,,,0,51,0,51,0,70,0,54,0,76,0,75,8,85,0,80,"$                        							1,500,000,000",76,"$                        							3,300,000,000,000",9,"$                        							608,463,000,000",42,"$                        							12,905,000,000",73,100,51,"2,766,000",108,21,34,94,71,"1,688                        						
							km",79,"99,830                        						
							km",48,"600                        						
							bbl",98,"156,000                        						
							bbl",63,"0                        						
							bbl",112,"1,447,000,000                        						
							Cu.M",58,"5,280,000,000                        						
							Cu.M",55,"9,911,000,000                        						
							Cu.M",72,"0                        						
							Cu.M",104,"1,322,000                        						
							mt",70,"40,000,000                        						
							Cu.M",73,"70,273                        						
							km",114,"1,448                        						
							km",58,"443                        						
							km",129,"956                        						
							km",70
New Zealand,"5,161,211",116,"2,219,321",114,"1,775,457",114,"61,935",116,"8,670",128,"3,250",90,300,118,48,90,0,129,0,117,8,72,13,85,6,41,0,103,21,96,0,126,0,137,"2,114",91,0,129,31,88,0,127,8,102,,,0,75,0,75,0,89,0,76,2,44,0,93,4,100,0,96,"$                        							3,030,000,000",61,"$                        							209,683,100,000",38,"$                        							254,770,000,000",67,"$                        							15,487,000,000",68,202,30,"3,068,000",101,22,32,117,64,"4,128                        						
							km",42,"94,000                        						
							km",53,"12,000                        						
							bbl",73,"154,000                        						
							bbl",64,"40,993,000                        						
							bbl",73,"3,770,000,000                        						
							Cu.M",47,"3,819,000,000                        						
							Cu.M",63,"31,149,000,000                        						
							Cu.M",59,"3,036,000                        						
							Cu.M",43,"2,441,000                        						
							mt",60,"7,575,000,000                        						
							Cu.M",15,"268,838                        						
							km",74,"15,134                        						
							km",9,"0                        						
							km",137,"0                        						
							km",128
Georgia,"4,900,961",117,"2,744,538",106,"2,225,036",104,"93,118",103,"55,000",69,"152,500",31,0,133,61,87,0,109,5,61,2,117,10,91,0,103,0,69,44,67,11,44,123,64,"3,392",79,67,42,121,57,42,47,19,86,,,0,41,0,40,0,64,0,44,0,70,0,69,31,41,4,32,"$                        							495,629,055",105,"$                        							13,488,000,000",95,"$                        							83,656,000,000",99,"$                        							5,002,000,000",98,19,121,"1,853,000",119,3,93,26,99,"1,363                        						
							km",85,"20,295                        						
							km",110,"300                        						
							bbl",100,"32,000                        						
							bbl",113,"35,000,000                        						
							bbl",76,"8,760,000                        						
							Cu.M",88,"2,796,000,000                        						
							Cu.M",72,"8,495,000,000                        						
							Cu.M",73,"256,000                        						
							Cu.M",68,"516,000                        						
							mt",83,"900,999,000                        						
							Cu.M",46,"69,700                        						
							km",115,"310                        						
							km",95,"1,814                        						
							km",91,"0                        						
							km",114
Panama,"4,470,241",118,"2,011,608",120,"1,206,965",126,"53,643",123,0,144,0,129,"80,000",29,38,102,0,134,0,120,13,53,0,140,2,67,0,111,23,90,0,130,0,139,262,137,0,133,0,136,0,132,30,71,,,0,82,0,82,0,93,0,83,0,96,0,96,27,45,0,99,"$                        							917,202,000",90,"$                        							1,115,532,300,000",17,"$                        							159,867,000,000",79,"$                        							6,757,000,000",87,76,66,"2,096,000",117,12,53,"8,174",3,"77                        						
							km",123,"11,978                        						
							km",128,"0                        						
							bbl",137,"146,000                        						
							bbl",68,"0                        						
							bbl",131,"0                        						
							Cu.M",131,"389,611,000                        						
							Cu.M",93,"0                        						
							Cu.M",131,"0                        						
							Cu.M",124,"837,000                        						
							mt",75,"0                        						
							Cu.M",127,"75,420                        						
							km",112,"2,490                        						
							km",39,"687                        						
							km",121,"800                        						
							km",74
Mauritania,"4,328,040",119,"1,687,936",125,"1,181,555",128,"82,233",104,"31,540",90,"66,000",51,"5,000",95,24,113,0,124,4,64,7,76,7,102,2,65,0,93,4,132,0,119,25,101,628,124,0,123,75,72,0,124,6,105,,,0,67,0,67,0,83,0,69,0,90,0,89,6,92,0,90,"$                        							261,250,000",127,"$                        							3,661,000,000",127,"$                        							30,395,000,000",132,"$                        							2,629,290,500",118,25,117,"1,179,000",130,2,104,11,110,"728                        						
							km",97,"12,253                        						
							km",126,"0                        						
							bbl",129,"29,000                        						
							bbl",115,"20,000,000                        						
							bbl",80,"0                        						
							Cu.M",123,"0                        						
							Cu.M",130,"28,317,000,000                        						
							Cu.M",62,"0                        						
							Cu.M",118,"0                        						
							mt",134,"0                        						
							Cu.M",123,"1,030,700                        						
							km",28,"754                        						
							km",72,"5,002                        						
							km",37,"1,086                        						
							km",64
Croatia,"4,150,116",120,"2,033,557",119,"1,564,594",116,"53,952",122,"14,325",117,"20,100",76,"2,000",109,67,84,10,77,0,84,0,132,28,63,0,95,0,55,37,72,0,97,45,87,"2,848",86,25,70,42,84,42,46,30,69,,,0,29,0,29,0,54,0,32,0,62,0,59,10,77,1,50,"$                        							1,176,000,000",83,"$                        							55,000,000,000",58,"$                        							159,305,000,000",80,"$                        							3,176,000,000",111,40,97,"1,744,000",123,16,44,384,41,"2,617                        						
							km",64,"26,958                        						
							km",99,"11,000                        						
							bbl",76,"70,000                        						
							bbl",89,"71,000,000                        						
							bbl",70,"741,456,000                        						
							Cu.M",61,"2,502,000,000                        						
							Cu.M",74,"24,919,000,000                        						
							Cu.M",64,"0                        						
							Cu.M",89,"702,000                        						
							mt",81,"0                        						
							Cu.M",96,"56,594                        						
							km",119,"5,835                        						
							km",20,"2,237                        						
							km",80,"4,714                        						
							km",26
Oman,"3,901,992",121,"1,482,757",129,"1,291,559",124,"50,726",124,"42,600",78,"100,000",43,"10,000",82,128,64,29,51,10,49,9,68,45,45,4,48,0,110,31,80,0,129,150,63,"4,084",73,24,72,140,53,0,131,22,80,,,0,80,0,80,0,92,0,81,0,95,5,26,12,72,0,98,"$                        							8,200,000,000",36,"$                        							50,897,000,000",61,"$                        							185,960,000,000",77,"$                        							17,455,000,000",63,36,105,"2,316,000",114,7,68,57,87,"0                        						
							km",138,"60,230                        						
							km",74,"1,056,000                        						
							bbl",19,"211,000                        						
							bbl",54,"5,375,000,000                        						
							bbl",21,"40,754,000,000                        						
							Cu.M",18,"27,364,000,000                        						
							Cu.M",31,"651,287,000,000                        						
							Cu.M",27,"0                        						
							Cu.M",123,"31,000                        						
							mt",107,"0                        						
							Cu.M",126,"309,500                        						
							km",69,"2,092                        						
							km",48,"1,561                        						
							km",103,"0                        						
							km",130
Bosnia and Herzegovina,"3,798,671",122,"2,355,176",110,"1,956,316",107,"49,383",125,"12,770",121,"6,000",87,0,127,22,114,0,99,0,78,0,130,0,122,0,90,0,46,22,91,0,88,45,85,720,118,0,104,457,27,79,38,0,115,,,0,21,0,22,0,50,0,24,0,59,0,54,0,111,0,62,"$                        							216,400,000",131,"$                        							7,760,500,000",109,"$                        							63,769,000,000",109,"$                        							9,205,000,000",80,13,128,"1,369,000",128,1,108,0,127,"965                        						
							km",90,"22,926                        						
							km",106,"0                        						
							bbl",112,"36,000                        						
							bbl",107,"0                        						
							bbl",100,"0                        						
							Cu.M",99,"225,824,000                        						
							Cu.M",98,"0                        						
							Cu.M",99,"14,114,000                        						
							Cu.M",26,"14,766,000                        						
							mt",28,"2,264,000,000                        						
							Cu.M",31,"51,197                        						
							km",120,"20                        						
							km",113,"1,543                        						
							km",105,"990                        						
							km",67
Moldova,"3,599,528",123,"2,159,717",117,"1,792,565",112,"71,991",109,"8,500",130,"67,000",50,"2,000",110,3,137,0,125,0,109,1,124,0,136,0,119,0,95,2,136,0,121,0,134,500,129,9,88,67,75,11,86,0,134,,,0,134,0,134,0,134,0,134,0,134,0,134,0,134,0,134,"$                        							1,710,000,000",73,"$                        							4,565,500,000",121,"$                        							38,969,000,000",129,"$                        							5,453,000,000",94,11,132,"1,464,000",125,0,131,75,76,"1,171                        						
							km",88,"9,352                        						
							km",131,"0                        						
							bbl",130,"22,000                        						
							bbl",122,"0                        						
							bbl",122,"10,000                        						
							Cu.M",94,"2,344,000,000                        						
							Cu.M",76,"0                        						
							Cu.M",123,"0                        						
							Cu.M",119,"120,000                        						
							mt",99,"0                        						
							Cu.M",124,"33,851                        						
							km",129,"0                        						
							km",132,"1,885                        						
							km",88,"558                        						
							km",84
Uruguay,"3,425,330",124,"1,575,652",127,"1,322,177",122,"54,805",121,"25,000",98,0,141,"5,000",101,43,94,0,144,6,59,6,85,12,89,5,45,2,27,12,113,0,143,31,97,"3,042",83,6,92,70,74,4,95,14,95,,,0,114,0,114,0,116,0,114,0,116,0,116,2,109,2,49,"$                        							772,400,000",96,"$                        							49,500,000,000",63,"$                        							105,096,000,000",93,"$                        							16,257,000,000",65,64,74,"1,775,000",121,8,64,58,86,"1,673                        						
							km",80,"77,732                        						
							km",63,"400                        						
							bbl",99,"52,000                        						
							bbl",99,"0                        						
							bbl",143,"0                        						
							Cu.M",143,"86,037,000                        						
							Cu.M",101,"0                        						
							Cu.M",143,"0                        						
							Cu.M",144,"18,000                        						
							mt",112,"0                        						
							Cu.M",144,"176,215                        						
							km",86,"660                        						
							km",74,"1,591                        						
							km",99,"1,600                        						
							km",52
Mongolia,"3,281,676",125,"1,870,555",122,"1,552,233",117,"62,352",114,"35,000",87,"135,000",36,"50,000",42,7,131,0,126,0,110,3,111,2,112,0,120,0,96,2,137,0,122,420,29,"2,560",90,0,124,500,23,130,30,0,135,,,0,135,0,135,0,135,0,135,0,135,0,135,0,135,0,135,"$                        							165,110,000",135,"$                        							19,542,500,000",88,"$                        							56,264,000,000",115,"$                        							4,782,000,000",100,35,107,"1,403,000",126,0,132,318,44,"1,815                        						
							km",78,"113,200                        						
							km",45,"15,000                        						
							bbl",67,"36,000                        						
							bbl",109,"0                        						
							bbl",123,"0                        						
							Cu.M",124,"0                        						
							Cu.M",131,"0                        						
							Cu.M",124,"28,276,000                        						
							Cu.M",19,"6,393,000                        						
							mt",44,"2,520,000,000                        						
							Cu.M",29,"1,564,116                        						
							km",18,"0                        						
							km",133,"8,082                        						
							km",10,"580                        						
							km",82
Kuwait,"3,138,355",126,"1,726,095",123,"1,449,920",118,"37,660",129,"72,000",59,"24,000",75,"7,500",85,128,63,43,41,0,101,2,119,13,84,0,109,3,23,67,54,16,35,367,31,"5,636",62,74,39,0,128,27,57,123,26,,,0,58,0,58,0,75,0,60,0,82,0,82,106,11,0,85,"$                        							6,950,000,000",41,"$                        							55,000,000,000",57,"$                        							219,060,000,000",72,"$                        							52,619,000,000",43,6,139,"2,463,000",111,6,71,176,55,"0                        						
							km",135,"5,749                        						
							km",137,"2,910,000                        						
							bbl",10,"372,000                        						
							bbl",38,"101,500,000,000                        						
							bbl",6,"19,285,000,000                        						
							Cu.M",30,"26,083,000,000                        						
							Cu.M",32,"1,784,000,000,000                        						
							Cu.M",18,"0                        						
							Cu.M",109,"145,000                        						
							mt",98,"0                        						
							Cu.M",115,"17,818                        						
							km",138,"499                        						
							km",82,"475                        						
							km",127,"0                        						
							km",120
Albania,"3,107,100",127,"1,522,479",128,"1,292,554",123,"62,142",115,"6,600",135,"2,000",92,500,116,19,120,0,94,0,69,0,127,0,118,0,80,0,33,19,100,0,79,46,84,"1,796",99,0,97,50,81,135,29,19,84,,,0,9,0,11,0,43,0,14,0,52,0,46,19,59,0,55,"$                        							558,862,420",101,"$                        							7,312,000,000",110,"$                        							49,592,000,000",122,"$                        							6,455,000,000",88,3,145,"1,388,000",127,3,90,67,81,"424                        						
							km",115,"3,945                        						
							km",141,"1,400                        						
							bbl",94,"2,600                        						
							bbl",144,"150,000,000                        						
							bbl",56,"50,623,000                        						
							Cu.M",80,"50,623,000                        						
							Cu.M",106,"5,692,000,000                        						
							Cu.M",80,"379,000                        						
							Cu.M",66,"389,000                        						
							mt",88,"522,000,000                        						
							Cu.M",52,"28,748                        						
							km",132,"362                        						
							km",93,"691                        						
							km",120,"41                        						
							km",100
Armenia,"2,976,765",128,"1,666,988",126,"1,366,335",119,"44,651",128,"57,500",67,"210,000",28,"5,000",93,71,82,4,85,15,40,3,106,13,83,0,81,0,35,36,73,20,30,109,68,"1,306",104,145,26,148,52,100,36,0,119,,,0,119,0,119,0,119,0,119,0,119,0,119,0,119,0,119,"$                        							1,700,000,000",74,"$                        							9,014,000,000",106,"$                        							57,728,000,000",111,"$                        							3,607,000,000",106,11,131,"1,356,000",129,0,112,0,125,"686                        						
							km",100,"7,700                        						
							km",134,"0                        						
							bbl",109,"14,000                        						
							bbl",132,"0                        						
							bbl",97,"0                        						
							Cu.M",95,"2,861,000,000                        						
							Cu.M",70,"0                        						
							Cu.M",95,"60                        						
							Cu.M",76,"23,000                        						
							mt",108,"317,000,000                        						
							Cu.M",60,"29,743                        						
							km",131,"0                        						
							km",115,"1,570                        						
							km",102,"0                        						
							km",104
Namibia,"2,803,660",129,"616,805",138,"400,923",139,"30,840",131,"13,000",119,0,123,"5,000",96,34,105,11,74,0,114,3,112,14,82,0,122,0,100,7,126,2,74,4,112,"2,094",92,0,127,25,93,25,62,15,91,,,0,73,0,73,0,88,0,74,0,93,2,38,12,71,0,95,"$                        							370,500,000",116,"$                        							8,800,000,000",108,"$                        							29,944,000,000",133,"$                        							2,956,000,000",114,255,25,"989,000",133,2,105,15,106,"2,628                        						
							km",63,"48,875                        						
							km",82,"0                        						
							bbl",133,"25,000                        						
							bbl",120,"0                        						
							bbl",126,"0                        						
							Cu.M",126,"0                        						
							Cu.M",133,"62,297,000,000                        						
							Cu.M",55,"0                        						
							Cu.M",121,"32,000                        						
							mt",106,"350,000,000                        						
							Cu.M",56,"824,292                        						
							km",33,"1,572                        						
							km",56,"4,220                        						
							km",48,"0                        						
							km",126
Lithuania,"2,628,186",130,"1,708,321",124,"1,332,490",121,"36,795",130,"23,000",104,"104,000",42,"14,150",72,9,128,0,121,0,106,5,87,0,133,0,116,0,89,4,131,0,115,0,131,"1,263",105,21,76,54,77,0,121,14,93,,,0,64,0,64,0,81,0,66,0,88,0,87,7,87,4,33,"$                        							2,388,900,000",66,"$                        							44,000,000,000",70,"$                        							132,712,000,000",88,"$                        							6,168,000,000",89,65,73,"1,510,000",124,2,103,59,85,"1,911                        						
							km",75,"84,166                        						
							km",59,"4,000                        						
							bbl",90,"68,000                        						
							bbl",90,"12,000,000                        						
							bbl",86,"0                        						
							Cu.M",119,"1,601,000,000                        						
							Cu.M",80,"0                        						
							Cu.M",119,"0                        						
							Cu.M",114,"263,000                        						
							mt",90,"0                        						
							Cu.M",120,"65,300                        						
							km",117,"90                        						
							km",106,"1,545                        						
							km",104,"441                        						
							km",88
Qatar,"2,552,088",131,"638,022",137,"490,001",137,"12,760",139,"66,550",63,"15,000",81,"5,500",92,251,39,102,22,6,58,12,57,51,44,0,128,0,116,80,47,24,28,99,70,"5,024",66,46,56,12,103,16,79,115,29,,,0,88,0,88,0,96,0,89,0,98,4,29,105,13,0,104,"$                        							9,432,000,000",34,"$                        							187,000,000,000",40,"$                        							304,973,000,000",60,"$                        							51,539,000,000",44,8,138,"2,035,000",118,6,72,123,61,"0                        						
							km",139,"7,039                        						
							km",136,"1,815,000                        						
							bbl",14,"297,000                        						
							bbl",43,"25,244,000                        						
							bbl",78,"169,595,000,000                        						
							Cu.M",6,"41,515,000,000                        						
							Cu.M",24,"23,861,000,000,000                        						
							Cu.M",3,"0                        						
							Cu.M",127,"0                        						
							mt",137,"0                        						
							Cu.M",129,"11,586                        						
							km",140,"563                        						
							km",77,"87                        						
							km",134,"0                        						
							km",132
Gabon,"2,455,105",132,"932,940",133,"532,758",136,"46,647",126,"4,800",136,0,110,"2,500",107,24,112,6,82,0,92,3,109,0,126,0,102,0,68,15,106,0,104,0,124,424,134,0,110,0,123,14,82,5,107,,,0,40,0,39,0,63,0,43,0,69,0,68,4,96,0,73,"$                        							274,820,000",126,"$                        							6,280,000,000",115,"$                        							48,201,000,000",123,"$                        							1,568,196,000",124,40,98,"763,000",137,9,59,87,73,"649                        						
							km",104,"14,300                        						
							km",123,"204,000                        						
							bbl",34,"16,000                        						
							bbl",128,"2,000,000,000                        						
							bbl",36,"463,000,000                        						
							Cu.M",64,"463,000,000                        						
							Cu.M",90,"25,995,000,000                        						
							Cu.M",63,"0                        						
							Cu.M",98,"0                        						
							mt",128,"0                        						
							Cu.M",105,"267,667                        						
							km",75,"885                        						
							km",68,"3,261                        						
							km",59,"1,600                        						
							km",50
Botswana,"2,450,668",133,"1,029,281",130,"617,568",135,"24,507",133,"21,000",106,0,102,0,128,45,92,11,72,0,79,9,67,9,94,0,91,0,47,16,102,0,89,45,86,"1,224",107,12,82,36,86,20,71,0,123,,,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,"$                        							465,600,000",106,"$                        							1,853,500,000",140,"$                        							46,742,000,000",124,"$                        							4,756,000,000",101,122,41,"1,170,000",131,0,118,0,128,"888                        						
							km",94,"31,747                        						
							km",93,"0                        						
							bbl",113,"21,000                        						
							bbl",124,"0                        						
							bbl",101,"0                        						
							Cu.M",100,"0                        						
							Cu.M",114,"0                        						
							Cu.M",100,"2,634,000                        						
							Cu.M",45,"2,291,000                        						
							mt",61,"1,660,000,000                        						
							Cu.M",34,"581,730                        						
							km",48,"0                        						
							km",120,"4,347                        						
							km",45,"0                        						
							km",108
North Macedonia,"2,135,622",134,"948,216",132,"783,773",131,"27,763",132,"9,000",127,"60,000",54,"3,500",104,20,118,0,132,0,119,0,141,10,93,0,127,0,108,10,120,4,67,20,102,"1,108",109,0,132,150,50,17,77,0,138,,,0,138,0,138,0,138,0,138,0,138,0,138,0,138,0,138,"$                        							388,421,700",114,"$                        							11,000,000,000",102,"$                        							42,444,000,000",128,"$                        							5,015,000,000",97,13,129,"801,000",136,0,135,0,138,"699                        						
							km",99,"14,182                        						
							km",124,"0                        						
							bbl",136,"22,000                        						
							bbl",123,"0                        						
							bbl",130,"0                        						
							Cu.M",130,"274,928,000                        						
							Cu.M",96,"0                        						
							Cu.M",130,"5,075,000                        						
							Cu.M",36,"5,776,000                        						
							mt",47,"332,000,000                        						
							Cu.M",58,"25,713                        						
							km",133,"0                        						
							km",136,"838                        						
							km",118,"0                        						
							km",129
Slovenia,"2,097,893",135,"1,006,989",131,"826,570",130,"22,867",134,"7,300",134,"26,000",74,"5,000",99,39,100,0,139,0,129,4,104,23,72,0,132,0,123,16,105,0,136,54,82,"1,428",103,0,138,18,97,0,137,2,114,,,0,96,0,97,0,103,0,97,0,103,0,102,2,108,0,108,"$                        							886,860,000",91,"$                        							55,000,000,000",59,"$                        							102,036,000,000",94,"$                        							2,370,000,000",120,42,92,"1,055,000",132,2,106,8,114,"1,207                        						
							km",87,"38,985                        						
							km",89,"0                        						
							bbl",140,"45,000                        						
							bbl",103,"0                        						
							bbl",136,"3,863,000                        						
							Cu.M",90,"840,902,000                        						
							Cu.M",86,"0                        						
							Cu.M",136,"2,358,000                        						
							Cu.M",48,"2,553,000                        						
							mt",59,"95,000,000                        						
							Cu.M",69,"20,273                        						
							km",137,"47                        						
							km",109,"1,211                        						
							km",111,"710                        						
							km",77
Kosovo,"1,977,093",136,"917,371",134,"743,387",132,"17,794",135,"10,000",125,"5,000",88,500,117,0,143,0,115,0,100,0,134,0,129,0,108,0,82,0,142,0,110,0,128,737,117,0,117,0,127,0,118,0,130,,,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,130,"$                        							260,715,150",128,"$                        							2,750,000,000",134,"$                        							23,794,000,000",136,"$                        							1,245,000,000",127,4,141,"500,300",139,0,126,0,133,"437                        						
							km",113,"2,012                        						
							km",145,"0                        						
							bbl",122,"15,000                        						
							bbl",130,"0                        						
							bbl",114,"0                        						
							Cu.M",114,"0                        						
							Cu.M",124,"0                        						
							Cu.M",114,"9,074,000                        						
							Cu.M",30,"8,927,000                        						
							mt",36,"1,564,000,000                        						
							Cu.M",36,"10,887                        						
							km",141,"0                        						
							km",127,"714                        						
							km",119,"0                        						
							km",119
Latvia,"1,801,246",137,"810,561",136,"648,449",134,"16,211",137,"17,250",110,"36,000",63,"12,500",74,7,130,0,118,0,104,0,136,0,131,0,112,0,85,7,125,0,112,0,129,"1,848",95,47,54,0,129,0,119,18,87,,,0,60,0,60,0,77,0,62,0,84,0,84,11,75,6,21,"$                        							1,138,000,000",84,"$                        							44,180,400,000",69,"$                        							71,154,000,000",104,"$                        							4,957,000,000",99,56,79,"978,000",134,5,78,83,74,"2,216                        						
							km",69,"70,244                        						
							km",68,"2,000                        						
							bbl",92,"35,000                        						
							bbl",111,"0                        						
							bbl",116,"0                        						
							Cu.M",116,"828,214,000                        						
							Cu.M",87,"0                        						
							Cu.M",116,"0                        						
							Cu.M",110,"20,000                        						
							mt",111,"0                        						
							Cu.M",116,"64,589                        						
							km",118,"498                        						
							km",83,"1,370                        						
							km",107,"300                        						
							km",93
