global_rank,country_name,active-military-manpower,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-attack-types,aircraft-total-fighters,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-total-trainers,aircraft-total-transports,armor-apc-total,armor-mlrs-total,armor-self-propelled-guns-total,armor-tanks-total,armor-towed-artillery-total,available-military-manpower,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,defense-spending-budget,external-debt-by-country,labor-force-by-country,major-ports-and-terminals,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,merchant-marine-strength-by-country,natural-gas-consumption-by-country,natural-gas-production-by-country,navy-aircraft-carriers,navy-corvettes,navy-destroyers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-patrol-coastal-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,square-land-area,total-population-by-country,waterway-coverage
34,Poland,202100,350000,29,216,479,44,59,11,0,105,49,23138,196,677,614,0,18985692,2845,123782000,116682000.0,440,48700000000,386947000000,18387000,10,288,15576017,50000,464956,152,20056000000.0,5551000000.0,0,2,0,124962.0,2,0,26,3,62,1,722000,24000,28531000000.0,91492000000.0,113000000,1616000000000,19461,193783000000,420000,312685,38746310,3997
35,Venezuela,109000,8000,10,88,229,0,30,3,1,75,49,8802,36,48,172,100,15625153,5267,82000,197000.0,2800,4093120000,110330000000,11548000,31,502,12812625,220000,625006,272,17696000000.0,17696000000.0,0,0,0,124962.0,1,0,0,25,34,1,367000,761000,730999000.0,5674000000000.0,303806000000,295974800000,447,10095500000,96189,912050,31250306,7100
36,Sweden,24400,32900,0,53,169,0,71,5,1,33,6,6795,0,26,110,0,4235934,2211,3396000,1115000.0,3218,13000000000,1002448700000,5825000,92,203,3558185,25000,105898,361,889924000.0,0.0,0,7,0,31673.0,0,0,8,179,308,4,283000,11000,5000000.0,0.0,0,676353000000,10910,60863000000,573134,450295,10589835,2052
37,Spain,133282,15150,17,153,461,12,137,8,0,140,51,17626,0,95,317,287,21748999,1953,8255000,1293000.0,4964,23397000000,2572738300000,24108000,52,363,17635602,78470,330963,503,32833000000.0,41009000.0,1,0,0,215346.0,11,0,6,22,152,2,1269000,47000,1187000000.0,2549000000.0,150000000,2242000000000,15489,103089000000,683175,505370,47280433,1000
38,Argentina,108000,0,0,94,239,11,23,13,2,71,52,21724,26,55,342,172,20677529,11968,3391000,1318000.0,4989,928897000,178940000000,21906000,37,756,17575900,20000,704916,201,46228000000.0,43280000000.0,0,6,3,122128.0,0,0,0,13,44,2,706000,807000,799999000.0,396464000000.0,2483000000,1235000000000,17866,23081000000,281290,2780400,46994384,11000
39,United Arab Emirates,65000,130000,30,247,551,16,99,27,4,147,37,8707,49,165,354,99,5818684,1066,3273000,0.0,1318,2212360382,264000000000,6668000,20,42,4945881,12000,80258,655,66091000000.0,56683000000.0,0,11,0,44188.0,0,0,2,34,181,0,939000,4146000,0.0,6091000000.0,97800000000,719733000000,0,189491000000,4080,83600,10032213,0
40,Philippines,150000,1200000,2,122,202,25,0,8,0,23,26,11878,0,12,10,294,50859137,0,37130000,14483000.0,36289,4380000000,90200000000,49477000,70,246,41751803,35000,2128987,2203,2251000000.0,2251000000.0,0,1,0,76313.0,2,0,0,58,113,0,453000,10000,361000000.0,98543000000.0,138500000,1138000000000,77,103742000000,216387,300000,118277063,3219
41,Malaysia,113000,51600,0,45,135,12,26,6,4,31,16,13506,36,0,48,196,16245461,2742,35050000,3731000.0,4675,4800000000,247500000000,17308000,35,102,13480276,100000,553037,1750,42499000000.0,75456000000.0,0,6,0,67735.0,2,0,4,71,100,2,717000,582000,226000000.0,1189000000000.0,3600000000,1152000000000,1851,113438000000,144403,329847,34564810,7200
42,Qatar,66550,15000,24,80,251,6,102,0,0,51,12,5024,16,46,99,12,638022,87,0,0.0,563,9432000000,187000000000,2035000,6,8,490001,5500,12760,123,41515000000.0,169595000000.0,0,4,0,124962.0,0,0,0,105,115,0,297000,1815000,0.0,23861000000000.0,25244000,304973000000,0,51539000000,7039,11586,2552088,0
43,Chile,80000,40000,0,87,277,0,45,21,5,92,32,8832,8,48,386,249,8959033,7801,8637000,499000.0,6435,5032500000,214500000000,9848000,39,374,7521855,50000,298634,249,6916000000.0,1200000000.0,0,0,0,176065.0,8,0,0,40,130,4,405000,11000,1181000000.0,97976000000.0,150000000,579201000000,7282,46377000000,77801,756102,18664652,12290
