country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget,total_assets,assets_per_capita,power_index_rank_gap,budget_per_soldier,budget_per_capita,continent,is_nato
Sudan,66,1.3563,50467278,26747657,300000,200000,183,64,1055,10,394700000,1312,2.5997043074128152e-05,65,14.756432684926384,7.820909223596327,Other,0
Austria,67,1.3759,8967982,4035592,25000,125600,90,41,56,0,6103900800,187,2.0851959783148537e-05,66,1512.5168252885821,680.6325882456053,Other,0
Sri Lanka,68,1.3822,21982608,10551652,346000,90000,90,49,87,275,1500000000,501,2.2790744392112164e-05,67,142.15783462153604,68.23576165303044,Other,0
Slovakia,69,1.3911,5563649,2837461,20982,0,48,22,45,0,2900000000,115,2.0669887694209323e-05,68,1022.0404791466738,521.2406462018002,Other,1
Belarus,70,1.4072,9501451,5035769,63000,365400,194,70,577,0,1034784000,841,8.851279662443136e-05,69,205.48678861163012,108.9079973153574,Other,0
Qatar,71,1.4096,2552088,638022,26550,4000,263,85,62,125,11950000000,535,0.00020963226973364554,70,18729.761669660293,4682.440417415073,Other,0
Ecuador,72,1.4479,18309984,8422593,41250,118000,99,43,202,30,2963400000,374,2.0426014572159103e-05,71,351.8393919782186,161.8461272276371,Other,0
Croatia,73,1.5432,4150116,2033557,14325,20100,67,37,55,30,2744000000,189,4.5540895724360475e-05,72,1349.3597671469254,661.1863379240484,Other,1
Jordan,74,1.5581,11174024,3463947,114500,100000,279,159,1508,27,2668500000,1973,0.00017657023110027328,73,770.3639807421996,238.8128036954279,Other,0
Bahrain,75,1.6731,1566888,846120,18400,110000,137,66,150,64,997015509,417,0.00026613261445617044,74,1178.3381896184937,636.3029833657542,Other,0
Kuwait,76,1.7161,3138355,1726095,78000,24000,133,68,367,123,7987000000,691,0.00022017904284250825,75,4627.207656589006,2544.9638425225953,Other,0
Albania,77,1.7258,3107100,1522479,7500,0,20,19,0,33,720037190,72,2.317273341701265e-05,76,472.9373541441294,231.7393035306234,Other,1
