fighterJS,attackJS,transportJS,trainerJS,specialJS,tankerJS,helicopterJS,attackheloJS,tanksJS,afvJS,spgJS,artilleryJS,mlrsJS,accarrierJS,helocarrierJS,destroyerJS,frigateJS,corvetteJS,subJS,patrolJS,mineJS,Country
15.0,0.0,11.0,18.0,0.0,0.0,41.0,0.0,56,7322,30,0,0,,,,,,,,,Austria
43.0,0.0,2.0,13.0,0.0,3.0,67.0,16.0,367,5636,74,0,27,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,Kuwait
43.0,0.0,7.0,38.0,0.0,0.0,20.0,0.0,0,4606,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,Belgium
83.0,0.0,31.0,75.0,4.0,2.0,78.0,0.0,903,7877,396,153,129,0.0,0.0,0.0,6.0,1.0,0.0,105.0,0.0,Morocco
10.0,5.0,6.0,21.0,0.0,0.0,27.0,4.0,90,4914,48,24,24,0.0,0.0,0.0,4.0,3.0,0.0,0.0,10.0,Bulgaria
0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,92,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Benin
11.0,17.0,3.0,33.0,0.0,0.0,46.0,4.0,262,3683,90,150,98,,,,,,,,,Serbia
14.0,24.0,23.0,28.0,11.0,0.0,66.0,15.0,330,8962,40,339,37,0.0,0.0,0.0,1.0,0.0,0.0,109.0,2.0,Nigeria
5.0,0.0,14.0,8.0,3.0,0.0,55.0,9.0,44,3190,0,96,28,0.0,0.0,0.0,5.0,0.0,0.0,59.0,0.0,Sri Lanka
0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,420,2560,0,500,130,,,,,,,,,Mongolia
0.0,6.0,6.0,12.0,5.0,2.0,12.0,0.0,31,3042,6,70,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Uruguay
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,130,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Beliz
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Sierra Leone
58.0,26.0,30.0,119.0,5.0,0.0,83.0,9.0,445,5980,95,210,180,0.0,0.0,0.0,6.0,3.0,3.0,146.0,2.0,Myanmar
0.0,0.0,20.0,34.0,8.0,0.0,46.0,0.0,54,5204,5,106,24,0.0,0.0,0.0,2.0,6.0,2.0,5.0,0.0,Ecuador
,,,,,,,,0,150,0,0,0,,,,,,,,,Iceland
71.0,0.0,6.0,33.0,5.0,1.0,53.0,0.0,110,6795,26,0,0,0.0,0.0,0.0,0.0,7.0,4.0,179.0,8.0,Sweden
833.0,689.0,456.0,611.0,141.0,19.0,1651.0,557.0,5750,131527,5168,8505,3005,1.0,0.0,10.0,12.0,83.0,63.0,123.0,47.0,Russia
0.0,0.0,1.0,4.0,0.0,0.0,20.0,6.0,38,1240,3,13,20,,,,,,,,,Tajikistan
2.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,30,644,2,38,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Republic of the Congo
0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0,5202,0,0,0,,,,,,,,,Afghanistan
45.0,0.0,32.0,92.0,21.0,5.0,87.0,0.0,386,8832,48,249,8,0.0,0.0,0.0,8.0,0.0,4.0,40.0,0.0,Chile
0.0,0.0,5.0,1.0,0.0,0.0,11.0,0.0,89,1869,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,Nicaragua
